year,total_publications,alignment,efficiency,reasoning,prompt,chain-of-thought,RLHF,safety,robustness,scaling,few-shot,zero-shot,fine-tuning,instruction tuning,evaluation,capabilities,bias,fairness,hallucination,interpretability,reinforcement learning,RL,multi-modal,knowledge,planning,coherence,memory,generalization,transfer learning,adversarial,optimization,performance,compression
2010,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2011,32,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,1,0,0,1,4,4
2012,35,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,15,1
2013,52,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,1,2,1,1,0,2,17,0
2014,96,2,6,0,0,0,0,1,1,3,0,0,0,0,5,1,1,0,0,1,0,0,0,10,0,0,17,1,0,0,3,43,0
2015,162,8,3,3,0,0,0,0,1,4,0,0,1,0,12,0,2,0,0,0,1,0,0,16,0,3,24,2,0,0,9,68,0
2016,253,9,10,2,0,0,0,2,3,5,0,4,2,0,36,2,4,0,0,1,4,0,1,37,1,3,56,5,0,1,8,87,8
2017,330,5,17,4,0,0,0,1,7,4,3,2,3,0,33,6,3,0,0,5,16,10,5,41,4,5,53,10,8,18,28,137,19
2018,541,12,14,14,0,0,0,7,12,17,1,1,13,0,89,3,11,0,0,11,21,6,4,82,8,11,88,13,15,45,23,250,24
2019,1102,41,46,75,5,0,0,0,39,15,13,20,109,0,125,26,63,4,3,13,19,17,2,325,19,21,144,44,63,87,41,552,39
2020,1821,45,89,148,3,0,0,8,66,28,50,69,275,0,334,38,143,7,3,28,41,27,15,734,14,31,176,83,69,201,76,1049,70
2021,2458,88,176,256,181,0,0,18,119,59,209,173,423,0,446,90,162,23,14,28,40,42,46,1055,24,45,216,164,99,188,105,1507,70
2022,3200,138,230,566,705,19,7,33,187,135,437,496,643,11,612,217,298,27,16,67,64,72,86,1504,65,49,242,278,84,238,121,2157,105
2023,6877,546,538,2008,1716,207,138,251,467,260,681,1105,1339,176,1806,1335,644,132,168,226,237,187,311,2942,366,99,602,630,124,396,385,4619,164
2024,5800,853,716,2002,1049,180,177,503,410,226,322,562,1278,134,1661,1552,499,121,257,179,191,131,263,2466,355,79,581,480,46,269,651,4166,249
2025,7767,1200,1215,5657,1253,325,124,883,744,639,247,544,1660,82,2521,1949,596,180,318,404,643,870,273,2704,593,168,1015,847,29,411,1314,5462,371
